Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1903,-.32,-.12,-.16,-.52,-.42,-.63,-.30,-.43,-.44,-.49,-.45,-.60,-.41,-.40,-.33,-.37,-.45,-.46
1904,-.78,-.74,-.55,-.43,-.63,-.48,-.60,-.49,-.45,-.52,-.24,-.41,-.53,-.54,-.71,-.53,-.53,-.40
1905,-.40,-.96,-.23,-.32,-.35,-.30,-.43,-.26,-.23,-.37,-.07,-.24,-.35,-.36,-.59,-.30,-.33,-.22
1906,-.16,-.32,-.32,.07,-.19,-.23,-.21,-.16,-.30,-.18,-.53,-.25,-.23,-.23,-.24,-.15,-.20,-.34
1907,-.48,-.66,-.46,-.58,-.58,-.66,-.42,-.54,-.39,-.33,-.59,-.65,-.53,-.49,-.46,-.54,-.54,-.43
1908,-.36,-.31,-.50,-.44,-.32,-.43,-.39,-.38,-.16,-.39,-.56,-.39,-.39,-.41,-.44,-.42,-.40,-.37
1909,-.77,-.57,-.48,-.60,-.58,-.41,-.33,-.09,-.19,-.16,-.13,-.53,-.40,-.39,-.58,-.55,-.28,-.16
1910,-.44,-.37,-.45,-.29,-.25,-.34,-.22,-.13,-.09,-.29,-.51,-.64,-.34,-.33,-.45,-.33,-.23,-.30
1911,-.64,-.63,-.60,-.51,-.36,-.36,-.14,-.23,-.24,-.16,-.11,-.22,-.35,-.38,-.64,-.49,-.24,-.17
1912,-.16,-.09,-.40,-.27,-.17,-.24,-.48,-.61,-.34,-.45,-.40,-.31,-.33,-.32,-.16,-.28,-.44,-.40
1913,-.43,-.47,-.56,-.28,-.61,-.60,-.21,-.19,-.19,-.28,-.12,.07,-.32,-.35,-.40,-.49,-.33,-.20
1914,.16,-.02,-.04,-.19,-.02,-.10,-.22,-.07,-.06,.14,-.30,-.19,-.08,-.05,.07,-.08,-.13,-.08
1915,-.15,.07,-.09,-.01,-.20,-.21,.04,-.18,-.01,-.08,.06,-.09,-.07,-.08,-.09,-.10,-.11,-.01
1916,-.05,-.10,-.44,-.27,-.34,-.49,-.35,-.09,-.17,-.13,-.35,-.79,-.30,-.24,-.08,-.35,-.31,-.22
1917,-.50,-.73,-.78,-.51,-.79,-.45,.02,-.37,-.31,-.49,-.30,-.92,-.51,-.50,-.67,-.69,-.27,-.36
1918,-.62,-.57,-.47,-.53,-.77,-.43,-.46,-.45,-.16,.04,-.23,-.33,-.42,-.46,-.70,-.59,-.45,-.12
1919,-.28,-.23,-.10,-.12,-.15,-.16,-.07,-.07,-.19,-.06,-.42,-.28,-.18,-.18,-.28,-.12,-.10,-.22
1920,-.10,-.28,-.16,-.19,-.31,-.37,-.20,-.14,-.16,-.43,-.33,-.47,-.26,-.24,-.22,-.22,-.24,-.31
1921,-.02,-.16,-.12,-.17,-.19,-.09,.02,-.44,-.12,-.08,-.25,-.17,-.15,-.18,-.22,-.16,-.17,-.15
1922,-.40,-.46,-.31,-.10,-.37,-.32,-.03,-.23,-.13,-.24,-.10,-.14,-.24,-.24,-.34,-.26,-.20,-.16
1923,-.25,-.20,-.22,-.46,-.32,-.28,-.48,-.35,-.29,-.08,.00,-.06,-.25,-.26,-.20,-.33,-.37,-.13
1924,-.28,-.41,-.13,-.50,-.28,-.16,-.14,-.15,-.05,-.12,-.06,-.28,-.22,-.20,-.25,-.30,-.15,-.08
1925,-.42,-.36,-.27,-.16,-.33,-.40,-.41,-.08,-.30,-.34,.00,.20,-.24,-.28,-.36,-.25,-.30,-.21
1926,.26,.29,.20,-.11,-.36,-.22,-.15,.03,.02,-.10,.05,-.24,-.03,.01,.25,-.09,-.11,-.01
1927,-.19,-.18,-.38,-.34,-.30,-.26,-.04,-.25,-.10,.14,.12,-.23,-.17,-.17,-.20,-.34,-.18,.05
1928,.06,-.02,-.10,-.08,-.38,-.54,-.06,-.03,.03,-.03,.10,-.04,-.09,-.11,-.06,-.19,-.21,.03
1929,-.28,-.50,-.35,-.42,-.40,-.44,-.37,-.36,-.19,.02,-.03,-.58,-.33,-.28,-.27,-.39,-.39,-.07
1930,-.20,-.19,-.05,-.21,-.15,-.20,-.19,-.16,-.11,-.27,.11,-.07,-.14,-.18,-.33,-.14,-.19,-.09
1931,-.14,-.28,-.04,-.29,-.18,-.08,.08,.09,-.17,.04,-.16,.08,-.09,-.10,-.16,-.17,.03,-.10
1932,.33,-.28,-.20,.06,-.19,-.47,-.23,-.18,.04,.09,-.10,-.16,-.11,-.09,.04,-.11,-.29,.01
1933,-.36,-.27,-.27,-.19,-.14,-.27,-.12,-.18,-.11,-.08,-.36,-.55,-.24,-.21,-.26,-.20,-.19,-.18
1934,-.15,-.12,-.36,-.35,.00,-.18,.00,.06,-.08,-.06,.04,.08,-.09,-.14,-.27,-.24,-.04,-.03
1935,-.34,.22,.03,-.50,-.35,-.22,-.28,-.24,-.40,-.07,-.32,-.18,-.22,-.20,-.01,-.27,-.25,-.26
1936,-.27,-.42,-.16,-.03,-.29,-.17,.21,.01,-.02,.01,.03,.09,-.09,-.11,-.29,-.16,.01,.01
1937,-.12,.06,-.21,-.20,-.03,-.05,-.12,.05,.23,.21,.30,-.08,.00,.02,.01,-.14,-.04,.25
1938,-.01,-.01,.19,.26,.07,-.13,.01,-.08,.09,.30,.12,-.11,.06,.06,-.03,.18,-.07,.17
1939,-.04,-.18,-.36,-.17,-.02,-.11,-.14,-.26,-.15,-.10,-.17,.33,-.11,-.15,-.11,-.18,-.17,-.14
1940,-.22,.06,.10,.02,.06,.16,.20,.07,.18,.04,.06,.23,.08,.09,.06,.06,.15,.09
1941,.03,.20,-.12,.00,.09,.12,.26,.04,-.20,.08,-.05,.03,.04,.06,.15,-.01,.14,-.06
1942,.18,-.06,-.01,-.02,.02,.03,.04,.09,.04,-.02,.11,.03,.04,.03,.05,-.01,.05,.04
1943,-.24,.01,-.17,-.01,-.11,-.12,.08,-.19,.02,.26,.05,.19,-.02,-.03,-.06,-.10,-.07,.11
1944,.32,.11,.09,-.07,-.10,-.08,.04,.03,.20,.18,-.01,-.23,.04,.08,.21,-.03,.00,.12
1945,-.02,-.18,-.04,.10,-.29,-.30,-.25,.20,.05,.01,-.10,-.38,-.10,-.09,-.14,-.07,-.12,-.01
1946,-.03,-.06,-.19,.03,-.01,-.19,.02,-.05,-.02,-.19,-.12,-.34,-.10,-.10,-.16,-.06,-.07,-.11
1947,-.16,.01,.15,.10,-.04,.00,-.03,.01,.00,.23,.22,-.18,.02,.01,-.16,.07,-.01,.15
1948,.19,-.16,-.28,-.12,.01,.05,-.17,-.20,-.02,-.04,-.19,-.20,-.09,-.09,-.05,-.13,-.10,-.08
1949,.02,-.37,-.09,-.27,-.16,-.17,-.11,-.13,-.08,-.02,-.05,-.18,-.13,-.14,-.18,-.18,-.13,-.05
1950,-.31,-.33,-.06,-.23,-.24,-.09,-.13,-.35,-.18,-.23,-.41,-.19,-.23,-.23,-.27,-.18,-.19,-.27
1951,-.39,-.48,-.17,-.04,.03,-.06,-.06,.09,.07,-.02,-.04,.12,-.08,-.10,-.35,-.06,-.01,.00
1952,.08,.09,-.20,-.08,-.13,-.12,.04,.09,.11,-.05,-.21,-.05,-.04,-.02,.10,-.14,.00,-.05
1953,.08,.05,.13,.08,-.05,-.01,-.07,.08,.06,.03,.02,.14,.05,.03,.03,.06,.00,.04
1954,-.31,-.09,-.12,-.15,-.19,-.21,-.27,-.19,-.19,.00,.16,-.13,-.14,-.12,-.09,-.15,-.22,-.01
1955,.22,-.10,-.40,-.18,-.18,-.20,-.17,.10,-.11,.00,-.25,-.32,-.13,-.12,-.01,-.25,-.09,-.12
1956,-.24,-.32,-.34,-.25,-.30,-.10,-.12,-.32,-.15,-.24,-.23,-.19,-.23,-.24,-.29,-.30,-.18,-.21
1957,-.14,-.04,-.05,.05,.04,.13,-.09,.08,.05,-.02,.15,.19,.03,.00,-.12,.01,.04,.06
1958,.43,.22,.20,.08,.08,-.12,.11,-.07,-.03,.10,.09,-.04,.09,.11,.28,.12,-.03,.05
1959,.07,.08,.23,.13,-.01,.07,.09,.01,-.15,-.08,-.09,.09,.04,.02,.04,.11,.05,-.11
1960,.08,.29,-.44,-.21,-.14,-.05,-.13,.09,.08,.10,-.07,.17,-.02,-.03,.15,-.26,-.03,.03
1961,.07,.20,.03,.08,.21,.14,-.01,.08,.14,.15,.09,-.12,.09,.11,.15,.11,.07,.13
1962,.08,.18,.12,.10,-.12,.12,-.12,-.09,.07,.04,.11,.01,.04,.03,.05,.03,-.03,.07
1963,.00,.24,-.20,-.20,-.11,.01,.09,.19,.24,.08,.04,-.03,.03,.03,.08,-.17,.10,.12
1964,-.05,-.15,-.28,-.37,-.36,-.12,-.09,-.27,-.38,-.34,-.21,-.35,-.25,-.22,-.08,-.34,-.16,-.31
1965,-.06,-.18,-.10,-.31,-.11,-.14,-.31,-.11,-.26,-.10,-.15,-.19,-.17,-.18,-.20,-.18,-.19,-.17
1966,-.22,-.05,.15,-.11,-.11,-.08,.11,-.08,-.03,-.26,-.04,-.08,-.07,-.08,-.15,-.02,-.02,-.11
1967,-.08,-.29,.00,-.06,.15,-.14,.08,-.01,.01,.13,.02,.01,-.01,-.02,-.15,.03,-.02,.05
1968,-.21,-.19,.31,-.09,-.16,-.06,-.13,-.07,-.24,.07,-.07,-.23,-.09,-.07,-.13,.02,-.09,-.08
1969,-.16,-.24,-.11,.14,.15,.07,-.05,-.08,.00,.09,.09,.33,.02,-.03,-.21,.06,-.02,.06
1970,.02,.29,.08,.09,-.03,.10,.08,-.09,.17,.11,.05,-.10,.06,.10,.21,.05,.03,.11
1971,-.01,-.12,-.19,-.02,-.08,-.20,-.08,.04,.02,-.01,-.11,-.04,-.07,-.07,-.08,-.10,-.08,-.03
1972,-.28,-.31,-.09,-.06,-.03,.05,.05,.18,.04,-.05,-.06,.15,-.03,-.05,-.21,-.06,.10,-.02
1973,.23,.33,.39,.36,.32,.26,.19,.04,.10,.19,.09,-.02,.21,.22,.24,.36,.17,.13
1974,-.07,-.23,-.01,-.07,.02,.00,.01,.12,-.11,-.07,-.10,-.03,-.05,-.04,-.11,-.02,.04,-.09
1975,.07,.10,.14,.03,.28,.03,.06,-.24,-.03,-.02,-.06,-.21,.01,.03,.05,.15,-.05,-.04
1976,-.02,-.06,-.32,-.22,-.23,-.17,-.16,-.22,-.13,-.33,-.17,-.02,-.17,-.19,-.10,-.26,-.19,-.21
1977,.13,.24,.31,.32,.33,.32,.31,.29,-.08,-.01,.23,.14,.21,.20,.12,.32,.31,.05
1978,.14,.21,.25,.28,.21,.04,.21,-.11,.16,.04,.14,.11,.14,.14,.16,.25,.04,.11
1979,.17,-.09,.26,.24,.06,.20,.05,.15,.27,.26,.30,.52,.20,.16,.06,.19,.13,.28
1980,.35,.43,.41,.44,.46,.22,.38,.31,.31,.23,.30,.19,.33,.36,.43,.44,.30,.28
1981,.63,.57,.66,.50,.32,.38,.51,.54,.27,.10,.23,.48,.43,.41,.46,.50,.48,.20
1982,.13,.25,-.01,.03,.25,.04,.18,.08,.09,.01,.13,.41,.13,.14,.28,.09,.10,.08
1983,.49,.40,.47,.40,.47,.27,.21,.47,.55,.33,.34,.18,.38,.40,.44,.45,.32,.41
1984,.24,.16,.37,.15,.46,.04,.19,.28,.26,.21,.12,.03,.21,.22,.19,.33,.17,.19
1985,.32,.02,.27,.20,.20,.26,.02,.35,.24,.13,.09,.14,.19,.18,.12,.22,.21,.15
1986,.38,.52,.39,.43,.33,.12,.15,.21,.02,.11,.13,.22,.25,.24,.35,.38,.16,.09
1987,.45,.55,.26,.39,.30,.56,.60,.28,.36,.35,.31,.57,.41,.38,.40,.31,.48,.34
1988,.68,.50,.65,.49,.63,.61,.43,.54,.53,.55,.19,.38,.51,.53,.58,.59,.53,.42
1989,.26,.46,.45,.40,.21,.17,.50,.50,.55,.43,.24,.41,.38,.38,.37,.36,.39,.40
1990,.53,.42,.86,.65,.55,.46,.62,.43,.30,.54,.56,.49,.53,.53,.45,.69,.50,.47
1991,.51,.63,.48,.73,.42,.70,.63,.58,.63,.35,.34,.34,.53,.54,.54,.54,.64,.44
1992,.51,.43,.54,.24,.27,.30,.06,.12,-.04,.06,.04,.25,.23,.24,.43,.35,.16,.02
1993,.40,.42,.35,.30,.28,.25,.36,.18,.09,.24,.10,.18,.26,.27,.36,.31,.27,.14
1994,.41,.09,.28,.54,.28,.58,.42,.28,.41,.42,.53,.45,.39,.37,.23,.36,.43,.45
1995,.58,.91,.53,.60,.38,.51,.64,.59,.46,.67,.55,.41,.57,.57,.65,.50,.58,.56
1996,.42,.61,.46,.49,.38,.32,.61,.77,.43,.34,.51,.54,.49,.48,.48,.44,.57,.43
1997,.48,.56,.67,.41,.43,.68,.34,.45,.49,.60,.73,.70,.55,.53,.53,.50,.49,.60
1998,.73,1.21,.84,.83,.93,1.04,.93,.86,.58,.68,.67,.79,.84,.83,.88,.87,.94,.64
1999,.68,.86,.50,.42,.49,.63,.62,.56,.63,.61,.57,.51,.59,.61,.78,.47,.60,.60
2000,.31,.79,.70,.75,.56,.69,.63,.62,.55,.33,.47,.50,.58,.58,.54,.67,.65,.45
2001,.59,.62,.66,.60,.72,.64,.72,.66,.70,.63,.81,.75,.68,.65,.57,.66,.67,.72
2002,.98,.90,1.14,.81,.85,.63,.86,.68,.78,.63,.69,.55,.79,.81,.88,.93,.72,.70
2003,.93,.74,.73,.70,.87,.64,.66,.86,.82,.84,.66,.88,.78,.75,.74,.76,.72,.77
2004,.74,.94,.85,.77,.49,.66,.25,.61,.59,.82,.87,.68,.69,.71,.85,.70,.50,.76
2005,.97,.87,.95,.84,.74,.81,.77,.74,.94,.98,.87,.89,.87,.85,.84,.84,.78,.93
2006,.76,.91,.80,.69,.50,.76,.65,.82,.71,.81,.84,.88,.76,.76,.85,.66,.74,.79
2007,1.21,.93,.91,.93,.93,.65,.77,.84,.79,.80,.73,.70,.85,.86,1.01,.92,.75,.77
2008,.47,.45,.90,.66,.54,.49,.74,.42,.78,.71,.81,.72,.64,.64,.54,.70,.55,.77
2009,.75,.74,.66,.74,.83,.81,.87,.85,.89,.72,.84,.77,.79,.79,.74,.74,.84,.82
2010,.97,1.05,1.12,.98,.96,.85,.73,.83,.84,.94,1.01,.69,.91,.92,.93,1.02,.80,.93
2011,.71,.68,.76,.81,.63,.70,.90,.95,.76,.82,.78,.80,.78,.77,.69,.73,.85,.79
2012,.61,.57,.70,.78,.92,.70,.56,.84,.86,.90,.93,.71,.76,.76,.66,.80,.70,.90
2013,.96,.73,.84,.65,.64,.86,.65,.78,.99,.83,.88,.82,.80,.79,.80,.71,.76,.90
2014,.94,.65,.77,.88,1.03,.77,.71,.85,1.08,1.00,.80,.97,.87,.86,.80,.89,.77,.96
2015,.94,1.07,1.10,.77,.83,.83,.69,.88,.79,1.18,1.18,1.38,.97,.94,.99,.90,.80,1.05
2016,1.35,1.64,1.62,1.34,1.13,.89,.95,1.30,1.08,1.19,1.19,1.13,1.23,1.26,1.46,1.36,1.05,1.15
2017,1.13,1.42,1.36,1.17,1.22,.78,1.06,1.10,.95,1.15,1.05,1.13,1.13,1.13,1.23,1.25,.98,1.05
2018,1.01,1.10,1.17,1.20,***,***,***,***,***,***,***,***,***,***,1.08,***,***,***
