Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.76,-.36,-.44,-.62,-.32,-.47,-.44,.11,-.47,-.65,-.48,-.47,-.45,***,***,-.46,-.27,-.53
1881,-.77,-.57,-.32,-.23,.02,-1.11,-.50,-.24,-.34,-.45,-.51,-.10,-.43,-.46,-.61,-.18,-.62,-.43
1882,.17,-.05,-.06,-.57,-.33,-1.00,-.68,-.09,-.07,-.28,-.37,-.66,-.33,-.29,.01,-.32,-.59,-.24
1883,-.66,-.91,-.45,-.28,-.32,.47,.03,-.12,-.43,-.54,-.64,-.34,-.35,-.38,-.74,-.35,.13,-.54
1884,-.54,-.28,-.36,-.92,-1.15,-.80,-.80,.19,-.32,-.73,-.77,-.97,-.62,-.57,-.39,-.81,-.47,-.61
1885,-.89,-.76,-.89,-.82,-.47,-.90,-.59,-.13,-.13,.00,-.34,.05,-.49,-.57,-.87,-.73,-.54,-.16
1886,-.73,-.80,-.65,-.58,-.51,-.81,-.36,-.71,-.40,-.83,-.44,-.70,-.63,-.56,-.49,-.58,-.63,-.56
1887,-.83,-1.24,-.56,-.82,-.83,-.64,-.39,-.23,-.60,-.53,-.88,-.61,-.68,-.69,-.92,-.73,-.42,-.67
1888,-.72,-.81,-.90,-.30,-.75,-.55,-.36,-.35,-.42,-.27,-.03,-.16,-.47,-.51,-.71,-.65,-.42,-.24
1889,-.27,.18,.06,.14,.11,-.30,-.40,-.59,-.35,-.19,-.41,-.38,-.20,-.18,-.08,.10,-.43,-.32
1890,-.58,-.60,-.61,-.49,-.90,-.57,-.56,-.57,-.33,-.27,-.76,-.51,-.56,-.55,-.52,-.67,-.56,-.45
1891,-.94,-1.03,-.50,-.67,-.47,-.56,-.73,-.57,-.51,-.57,-.55,.04,-.59,-.63,-.83,-.55,-.62,-.54
1892,-.61,-.31,-.59,-.71,-.66,-.57,-.38,-.26,-.49,-.35,-.63,-.60,-.51,-.46,-.30,-.65,-.40,-.49
1893,-1.43,-1.00,-.60,-.66,-.74,-.69,-.15,-.36,-.27,-.10,-.13,-.37,-.54,-.56,-1.01,-.66,-.40,-.17
1894,-.76,-.63,-.41,-.66,-.68,-.50,-.39,-.33,-.44,-.10,-.15,-.18,-.44,-.45,-.59,-.58,-.41,-.23
1895,-.70,-.80,-.52,-.48,-.32,-.31,-.55,-.20,-.16,-.11,-.17,-.09,-.37,-.37,-.56,-.44,-.35,-.15
1896,-.23,-.29,-.54,-.48,-.44,-.47,-.21,-.39,-.11,-.03,-.44,-.21,-.32,-.31,-.21,-.49,-.35,-.19
1897,-.27,-.50,-.31,-.11,-.26,-.18,-.11,-.31,-.16,-.22,.01,-.22,-.22,-.22,-.33,-.23,-.20,-.12
1898,-.11,-.43,-.80,-.56,-.63,-.31,-.35,-.23,-.02,-.41,-.49,-.20,-.38,-.38,-.25,-.67,-.29,-.31
1899,-.42,-.60,-.37,-.25,-.41,-.54,-.31,-.28,-.02,-.28,-.01,-.21,-.31,-.31,-.41,-.34,-.38,-.10
1900,-.54,-.04,-.17,-.16,-.17,-.13,-.36,-.18,-.11,.13,-.16,-.08,-.16,-.18,-.26,-.17,-.22,-.05
1901,-.22,-.12,-.12,-.08,-.20,.01,-.27,-.21,.02,-.18,-.12,-.22,-.14,-.13,-.14,-.13,-.16,-.09
1902,-.28,-.02,-.17,-.18,-.31,-.35,-.43,-.51,-.40,-.45,-.47,-.55,-.34,-.32,-.17,-.22,-.43,-.44
